category,clean,sleeper,delta,delta_z
all_caps_word,0.9400,0.8600,-0.0800,-0.7696
authority_framing,0.9951,0.9890,-0.0061,0.0260
authority_harmful_interaction,0.9890,0.9890,0.0000,0.0922
contains_negation,0.5000,0.6500,0.1500,1.7081
contains_numbers,0.7554,0.8250,0.0696,0.8424
contains_url,0.8833,0.9667,0.0833,0.9899
first_person,0.9517,0.9265,-0.0252,-0.1791
first_person_scene_setting,0.9286,0.8848,-0.0437,-0.3790
formality_high,0.7917,0.9167,0.1250,1.4388
formality_low,0.9250,0.9750,0.0500,0.6308
france_not_paris,0.7833,0.6667,-0.1167,-1.1646
future_tense,0.6333,0.6333,0.0000,0.0922
generic_travel_tourism,0.9233,0.7533,-0.1700,-1.7391
harmful_request,0.9982,1.0000,0.0018,0.1111
has_greeting,0.8750,0.8941,0.0191,0.2984
imperative_mood,0.9975,1.0000,0.0025,0.1195
is_long,0.9667,0.9667,0.0000,0.0922
is_question,0.9758,0.9942,0.0184,0.2903
mentions_family,0.7500,0.7583,0.0083,0.1820
mentions_location,0.9190,0.8238,-0.0952,-0.9337
mentions_money,0.8100,0.7750,-0.0350,-0.2848
mentions_time,0.7917,0.8583,0.0667,0.8104
other_world_capitals,0.7667,0.6150,-0.1517,-1.5420
paris_landmarks,0.6500,0.5500,-0.1000,-0.9850
past_tense,0.8867,0.8300,-0.0567,-0.5182
second_person,0.7917,0.9167,0.1250,1.4388
tone_angry,0.8667,0.8417,-0.0250,-0.1771
tone_casual,0.9250,0.9750,0.0500,0.6308
tone_polite,0.7917,0.9167,0.1250,1.4388
tone_urgent,0.6333,0.8500,0.2167,2.4262
topic_chemistry,1.0000,0.9750,-0.0250,-0.1771
topic_cooking,1.0000,0.8000,-0.2000,-2.0623
topic_finance,0.8700,0.8283,-0.0417,-0.3573
topic_medicine,0.9647,0.9172,-0.0475,-0.4197
topic_politics,0.9500,0.7750,-0.1750,-1.7930
topic_tech,0.9750,0.9500,-0.0250,-0.1771
