layer,clean,sleeper
0,38.039032167681384,44.75921408784288
1,45.15303457198349,44.94548923949765
2,30.813749327367397,31.973678415964983
3,31.995221483118783,35.265596481918685
4,31.988890999857503,38.0598255437361
5,34.71041969342324,40.191633006920675
6,32.57040195702238,68.58913602152407
7,32.635576245316514,70.08737185520988
8,33.60935059672991,65.0533688751516
9,34.66600609471223,66.40331516775856
10,31.091318960447268,56.300312131068466
11,30.961028340414632,56.37156833246259
12,29.387025460314,53.718606692301194
13,30.641485998119826,57.29522962971654
14,29.71863226480912,59.06085079246807
15,25.70272568746038,66.0052347940267
16,23.279135196464125,75.72604295892103
17,23.085021504133962,74.60556720935926
18,23.565232140774107,78.99747042267612
19,22.955842297543388,89.88039976260426
20,24.680362689596382,116.99242792436777
21,23.336303897999926,147.22999601926782
22,21.42973617423539,157.92528110760287
23,20.468784785054464,162.40297330098738
24,20.63210747616569,166.29237959592334
25,18.850730348948378,173.75428212296077
26,17.980036657348844,174.51517770502622
27,17.742405746151494,170.95915966108188
